kind,.pred_AI,.pred_class,detector,native,prompt,document,document_id,char_count,readability_score,sentiment_score,keyword_I,keyword_my,keyword_we,keyword_me,keyword_feel,keyword_love,keyword_hate,keyword_afraid,keyword_gonna,keyword_wanna,keyword_you,keyword_know,keyword_kinda,keyword_like,keyword_uh,word_count,sentence_count,avg_word_length,unique_word_count,keyword_I,keyword_my,keyword_we,keyword_me,keyword_feel,keyword_love,keyword_hate,keyword_afraid,keyword_gonna,keyword_wanna,keyword_you,keyword_know,keyword_kinda,keyword_like,keyword_uh,keyword_I,keyword_my,keyword_we,keyword_me,keyword_feel,keyword_love,keyword_hate,keyword_afraid,keyword_gonna,keyword_wanna,keyword_you,keyword_know,keyword_kinda,keyword_like,keyword_uh
Human,0.1410470073521803,Human,Sapling,Yes,,"Dear, @ORGANIZATION2. A computer is a very helpful resource. It helps people navagate through life, they can find jobs, do research for school. This world wold be nothing without computers. But on the other hand some people do spend to much time on the computer. But surfing the web for countless hours is their choice. Computers can help students do research from the comfort of their own home. Instead of going to the local library and looking and looking for books, all they have to do is type in thier research topic and wallah tons of different websites are right under their noses. A computer is the world at your finger tips. Also a computer can help unemployed people find a job. Its easy, type in what city you want to work in, and there you go. You can even fill out a job application right then and there. Hey, some people even work from home. Stay at home moms can easily make money while doing daily chores like washing dishes. Also working from home can a lot less tessful. It's less stressful because you dont have to deal with annoying and impatiant co. workers. Did you know that @PERCENT1 of employment is from the workers home, @CAPS1 now you know. Working from home makes another day at the office, another day at home. Computers have helped us come along way since caveman times. Without computers this would will be nothing. We woulde have so many basic things like stoplights, elevators, and even bleders. We also wouldn't have the more sifisticated things like fockets. and cars and planes. Imagine an airport without computers, where would they store all of their information? On paper? Where would a school store all their grades and tardys? On paper? Where would the goverment store their information? On paper? With those three palces we already cut down half of the @ORGANIZATION1. Computer help the environment too. They will also help us to invent more technology so that one day we can live on @CAPS2 or something. I hope this essay changed your mind about computers. Lets recap they help students reasearch, help people find jobs, you can work from home. Helps the environment. Without computers we would live in caves and walk around with leaves for underwear like caveman. The @CAPS3 line is that computers are very helpful.",184,2259,76.32,0.9954,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,452,37,4.130530973451328,219,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0
AI,0.0,Human,ZeroGPT,,Plain,"In this report, we explore the use of Mixture of Experts (MoE) and Back-Translation to improve the robustness of Question Answering (QA) systems. QA systems are often prone to errors in understanding the nuances of language and handling unseen questions. MoE is used to combine the strengths of multiple QA models, each trained on different subsets of the data, to improve overall performance. Back-translation is used to generate synthetic examples to augment the training data and improve the model's ability to generalize. Our results show that the combination of MoE and Back-Translation outperforms the baseline model on various QA tasks, particularly on answering questions that weren't present in the training data. This research has important implications for improving QA system robustness and enhancing their overall performance.",374,839,33.24,0.9313,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,142,6,5.028169014084507,83,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Human,0.2163390219211578,Human,Crossplag,Yes,,"The air thickened with red dust as I walked into the basement of Washington Studio School for my first sculpting class - a way to be creative after a stressful day. As I pulled back a thick curtain to enter, I looked around the room, examining the surfaces, all covered in a thin layer of that same dust. The bookshelves behind me were sporting a small collection of sculptures.        We were given a 4’ by 6’ block of clay to mold into a woman that was sitting in front of us. I stared at the block of clay, unable to imagine how to start. The woman next to me immediately started shaping her rust-colored slab. She took clumps from the bottom of the piece, adding it to the top, taking pieces away to form shoulders and arms. I spent more than an appropriate amount of time watching her work. I was amazed by the way she could see the woman inside her block of clay.                I turned back to my sculpture and gingerly shaved off a piece of clay from the top corner. I continued to work at that corner and that corner only as my instructor travelled around the room, visiting each of his students to offer tips and suggestions. When he made it to my table, he glanced at my piece. I had transformed the 4’ by 6’ rectangular prism into a pentagonal prism. He took one of my tools and started shaving away clay and suggested that I remove even more. He continued to visit the rest of his students as I continued to shave miniscule pieces of clay off of my now hexagonal prism.        I wanted to act on his advice, I wanted to take this opportunity to learn, but I did not want to do something wrong. I was afraid of the permanence of my choices. This fear continued to hold me back throughout the 3-hour lesson. By the end of the class, rather than my piece looking like the model sitting in front of me, my piece looked like Mario from the 1985 Super Mario Bros. I left the class, wondering when I started letting fear control my actions.        I remembered that I used to quite literally jump into new situations. The first time I went on a chair lift, for example, I had been so excited to “hit the slopes” that instead of waiting for the chair lift to reach the end, I leaped off 8 feet too soon. Luckily, my dad caught me and held onto me until we reached the end of the lift.        The next week, I was determined to reclaim that feeling of fearlessness to make progress on my sculpture. This time, I took out clumps, rather than slithers. When my instructor reached my table, he pointed to plenty of problems with my piece. The arm was too high, the legs looked like a yeti’s, and the head took the shape of a balloon. But I realized that at least I was doing it — and I was enjoying it, too.        My final piece was in no way a replica of the model who sat in front of me during those lessons: it was riddled with errors. But, while the person I was when I first entered the classroom may have hated the fact that she could see all the mistakes in her final structure, I now appreciate that I can see them, and that I can see how far I’ve come since making them. No matter how deep under the surface of my sculpture the mistake might be, I know it is there. Every crack, air bubble, slip and score, is a working component in my sculpture. And I know that, like my sculpture, I’ve been shaped by my mistakes, too: as long as I want to keep becoming myself, I’ll need to keep making them.",470,3406,76.96,0.7739,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,732,33,3.7008196721311477,310,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0
AI,0.0006190538406372,Human,Quil,,Enhance like native,"I prefer living with roommates. Firstly, I won't feel lonely when sharing a space with them. I enjoy engaging in conversations with my roommates before crucial exams, as it helps me relax and consistently achieve high grades. Secondly, we can support one another during difficult times. For instance, I caught a severe cold last week and had to remain in the dormitory. Thankfully, my roommate Ben assisted by taking class notes and providing me with medicine. I was truly grateful.",291,482,59.9,0.9653,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,93,7,4.333333333333333,69,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Human,0.0012,Human,OriginalityAI,Yes,,"I think that computers have a good effect on people. When people are on the computer they are not on for very long. I also think computers have a good effect on people because of the new technology. Computers are positive and they can help you when you are stuck or need to look something up. To me computers are positive. When people go on the computer ther are not on for @NUM1 hours straight. Sure they might be on @NUM1 hours in a day but they do other stuff in between like school, meals and activities. Some people need computers for their @CAPS1. News @CAPS2 companies need computers for editing and printing out the papaer. They also put the news on there website. What would most people do without a computer? Computers are positive because of the new technology! The new technology is helping people interact over the. if you have a long distance friend or family member, there are how many ways to talk to them. You could use @CAPS3, skype, oovoo, @CAPS4 or even email. When I go on the computer I dont just sit and watch @CAPS5 @CAPS6 or @CAPS7 online. I interact with my friends @PERCENT1 of us population between the ages @NUM3 have a @CAPS3. @PERCENT2 have skype or oovoo and talk to people that are too far away to visit. Computers are positive because they can help you with school that you don't know just go on the internet and look it up if you need to translate @CAPS8 to @CAPS9 just go on the computer and translate it. @PERCENT3 of people learned a dictionary there own using the internet. If there is a word you want to know and isn't i the dictionary look it up and it will be online. Computers have a positive effect on people. Nobody spends so much time on the computer that they can't go outside or hang out with there friends. People actually need the computer for their @CAPS1 the new technology that is coming out is letting people interact with people across the world. They are positve to have for school work, definitions and even translation. Computers are not negative and they dont take away what you should do in life.",320,2056,73.68,0.9947,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,428,26,3.927570093457944,168,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0
AI,0.9989227652549744,AI,HFOpenAI,,Plain,"The development of a robust Question Answering (QA) system is an essential task for natural language processing. This report presents a novel approach to building a QA system. The proposed approach utilizes task-adaptive pretraining, data augmentation, and hyperparameter tuning to improve the system's performance. The model is fine-tuned on multiple datasets to make it more robust across a range of domains. Data augmentation techniques are employed to increase the diversity of the training data, and hyperparameter tuning is used to optimize the model's performance. Experimental results demonstrate that the approach outperforms previous state-of-the-art methods on multiple question answering benchmarks. The findings suggest that task-adaptive pretraining, data augmentation, and hyperparameter tuning are effective techniques for improving the performance of QA systems.",479,879,20.28,0.9678,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,136,7,5.588235294117647,77,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Human,0.0001922148512676,Human,OriginalityAI,Yes,,"Title: QANet for Question Answering on SQuAD2.0
Abstract: In this project, we study the application of a QANet architecture to question answering on the SQuAD2.0 dataset. Question answering consists in training models to answer questions provided in natural language from either prodided or general context. The QANet architecture, originally presented in 2018, was a top performer on the original SQuAD dataset before the advent of pre-training. While the original SQuAD dataset only contained answerable questions, the creators of the dataset published the updated SQuAD2.0 dataset that contains unanswerable question and demonstrated that while it had little effect on human performance, it greatly reduced the effectiveness of existing models. We study how the QANet model fair on this dataset compared with a BiDAF baseline model, another high-performing model. We show that QANet's effectiveness drops, but that simple modifications to the original architecture allow significant improvements in overall performance. We also study the benefits of ensembling different architectures to improve final performance. We achieve EM and F1 scores of 63.415 and 66.734 on the test dataset.",824,1187,31.38,0.9674,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,192,8,5.28125,109,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AI,0.002292534103617,Human,Crossplag,,Simplify like non-native,"Dear @ORGANIZATION1 @CAPS1, Computers have made our lives much easier and convenient. They have helped billions of people worldwide to complete tasks smoothly and efficiently. The use of technology has also revolutionized various professions such as the medical and education fields. Students benefit from computers daily, as it allows them to complete assignments easily and communicate with others. Doctors also greatly rely on technology for diagnosing sicknesses, organizing records, and providing treatments. The internet has brought people closer and improved communication worldwide. Overall, computers have become essential in our daily lives and play a crucial role in advancing our way of living. I strongly believe that we should educate others about the benefits of modern technology and continue to advance our society.",108,832,30.57,0.967,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,137,8,5.189781021897811,93,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Human,0.5710657452046284,AI,GPTZero,Yes,,"Title: Fine Grained Gating on SQUAD
Abstract: The purpose of this project is to implement an embedding mechanism on top of the BiDaf model that serves as a compromise between word-level embeddings and character-based embeddings that can compete with a simple concatenation of word and character level embeddings. In particular, the mechanism is what is called a fine-grained gating method, in which, given a character level embedding $c$ and a word-level embedding $w$, a parameter $g$ is learned such that final embedding of a given word is $g \odot c + (1-g) \odot w$, where $\odot$ represents termwise multiplication. After various experiments varying the methods by which the parameter $g$ is learned, results ultimately show that none of the fine-tuned gating methods perform better than mere concatenation of the word and character embeddings.",791,849,9.9,0.6705,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,158,3,4.537974683544304,85,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AI,0.968639314174652,AI,HFOpenAI,,Simplify like non-native,"""I think computers are useful because anyone can use them anytime to contact people or do things like play games, research, or work. They can also be helpful for school projects and saving information. People can even create their own websites or open accounts on existing ones. Overall, computers are very helpful for people who want to search for things they are curious about or use them for good purposes.""",42,410,62.17,0.9584,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,79,4,4.341772151898734,57,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
AI,1.4747424472217235e-05,Human,GPTZero,,Elevate using technical,"The QANet model is a neural network architecture that has been specifically designed for tasks involving reading comprehension. Our study involved utilizing the QANet model to process the Stanford Question Answering Dataset (SQuAD) 2.0. We conducted various experiments by modifying hyperparameters and implementing diverse training techniques to optimize the model's performance on the SQuAD 2.0. Our results showed that the QANet model achieved state-of-the-art performance on the SQuAD 2.0 leaderboard. In addition, we compared our model's performance with other existing models and noted that QANet outperformed most of them. Thus, we conclude that utilizing QANet for reading comprehension tasks on SQuAD 2.0 represents an encouraging approach, and the optimization of the model may lead to even more significant improvements.",458,831,28.84,0.9165,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,132,6,5.401515151515151,83,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Human,0.0008,Human,OriginalityAI,Yes,,"To: @CAPS1 this letter concerns, Computers are apart of our daily life. You can do many things on them such as play games, watch videos, search the web, and even communicate with people from all over the world. They are very useful for people who go to school bacause you can complete and save work for your classes. Sure maybe some people are addicted to the computer but others use it only when they need to. Computers have a massive affect on some peoples life. Sitting around on the computer all day can be harmful but informative in many ways. One of the informative ways is that you learn new information every time you log on. That is why I think the computer has a great effect on people.",880,696,72.05,0.9041,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,143,8,3.972027972027972,98,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
AI,0.99715971946716,AI,OriginalityAI,,Elevate using technical,"This final report aims to present the study's findings, which aim to improve the performance of prior Quality Assurance (QA) models by utilizing a deep learning approach. This was done by developing and fine-tuning a variety of models using multiple neural network architectures and pre-trained word embeddings to reduce computation costs while maintaining model accuracy. The evaluation was performed on various benchmark datasets, showing that the developed models improved upon state-of-the-art models in terms of accuracy and computational efficiency. These outcomes demonstrate that this strategy is also effective for other Natural Language Processing (NLP) tasks.",552,670,13.48,0.9382,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,106,4,5.433962264150943,83,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AI,0.1386686116456985,Human,Crossplag,,Plain,"This report explores the use of self-attention and convolutional neural networks (CNNs) for question answering on the Stanford Question Answering Dataset 2.0 (SQuAD 2.0). The study revisits the QANet architecture and investigates three variations of the model: the original QANet, QANet with an additional input-channel attention mechanism, and QANet with one-dimensional (1D) convolutional layers. The experiments were conducted on the SQuAD 2.0 dataset, which contains unanswerable questions in addition to the answerable ones, making the task more challenging. The results show that the 1D-convolutional-QANet achieved the best performance, outperforming the original QANet and the attention variant. The findings suggest that the combination of self-attention and 1D convolutions can effectively capture temporal features and improve the performance of question answering models on complex datasets like SQuAD 2.0.",630,918,19.37,0.9516,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,143,5,5.545454545454546,86,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
AI,0.0001985430717468,Human,Quil,,Plain,"This report presents an investigation into two machine comprehension models inspired by answer pointer mechanisms: Bi-Directional Attention Flow (BiDAF) and QANet. These models aim to accurately answer questions based on textual input, bridging the gap between natural language understanding and machine learning. The report begins with a review of previous work in the field and an overview of the methodologies used in both models. The experiments conducted on the Stanford Question Answering Dataset demonstrate that both BiDAF and QANet achieve state-of-the-art performance. Furthermore, the report provides insights into the strengths and weaknesses of each model and discusses potential avenues for future research. Overall, this report contributes to the advancement of machine comprehension in natural language processing.",681,830,26.51,0.8126,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,128,6,5.5859375,86,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AI,0.0044769668020308,Human,Crossplag,,Enhance like native,"I think that open-mindedness is essential for an effective teacher. Many of us were raised with a specific set of beliefs and values, which can make it difficult to embrace new ideas. However, open-minded teachers provide opportunities for altering our perspectives and exposing us to a multitude of possibilities. Moreover, open-mindedness carries an inherent honesty, as it acknowledges countless areas yet to be explored. This attitude encourages a deeper understanding of the world around us.",322,496,30.87,0.9042,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,84,5,5.023809523809524,63,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
